id,target
0,0.03130
1,0.03080
2,0.02974
3,0.01606
4,0.02036
5,0.02099
6,0.03387
8,0.02550
10,0.07699
11,0.03200
12,0.03422
14,0.02555
15,0.05397
18,0.04747
21,0.04158
23,0.03382
24,0.03068
25,0.03211
27,0.03888
29,0.05474
30,0.02823
31,0.04803
32,0.04468
33,0.03152
37,0.04174
38,0.04757
39,0.06863
40,0.02877
41,0.03663
42,0.03558
44,0.02614
45,0.02832
47,0.04352
49,0.02886
51,0.03816
52,0.01889
53,0.02877
54,0.08087
55,0.02349
56,0.02725
57,0.05341
59,0.04268
60,0.05259
62,0.02471
63,0.06474
67,0.04017
68,0.01627
69,0.06919
70,0.03559
71,0.04038
73,0.05134
75,0.02855
76,0.03140
81,0.01919
82,0.02523
83,0.03201
86,0.03045
87,0.05139
88,0.03156
91,0.04261
92,0.05034
94,0.01987
97,0.03492
100,0.03028
102,0.03248
103,0.02875
105,0.05091
106,0.04988
108,0.03273
113,0.06261
114,0.03255
115,0.02147
118,0.05100
122,0.02271
124,0.05300
126,0.03228
128,0.02928
129,0.04154
130,0.03828
131,0.03115
132,0.03171
133,0.02619
134,0.03969
135,0.04424
136,0.01721
139,0.02419
140,0.02495
141,0.06263
146,0.02686
148,0.04037
151,0.02416
152,0.05602
154,0.03111
157,0.03039
158,0.02125
159,0.05915
161,0.03315
164,0.01750
165,0.06729
167,0.03021
168,0.05080
169,0.03114
171,0.03605
172,0.06193
173,0.02139
174,0.02606
175,0.04802
176,0.02556
178,0.03856
179,0.03145
180,0.02063
181,0.02189
182,0.06797
183,0.05462
184,0.04185
185,0.04404
187,0.02596
188,0.01937
190,0.02665
191,0.03091
192,0.05268
195,0.03652
196,0.03593
198,0.06425
201,0.04442
202,0.03737
203,0.02440
204,0.02377
207,0.02934
213,0.03259
219,0.02313
220,0.02429
222,0.04551
226,0.01854
228,0.05948
230,0.03177
231,0.03172
232,0.03383
233,0.03782
234,0.01403
236,0.03619
237,0.02681
238,0.06063
240,0.05119
241,0.02628
242,0.05261
243,0.03844
245,0.02368
246,0.04885
247,0.02421
249,0.06344
250,0.03145
251,0.01896
252,0.02603
253,0.02011
254,0.03545
255,0.08508
256,0.04342
257,0.02754
258,0.03472
259,0.05952
260,0.01658
262,0.02263
267,0.02964
268,0.02590
270,0.01851
272,0.03029
273,0.02674
274,0.02559
275,0.03883
276,0.03183
277,0.04407
278,0.06221
279,0.05128
281,0.03623
282,0.02691
283,0.03977
287,0.03315
288,0.06011
289,0.03414
290,0.02393
291,0.04215
292,0.06564
293,0.03369
294,0.02334
295,0.02433
296,0.08816
297,0.03524
298,0.03741
299,0.03554
300,0.05078
303,0.03077
304,0.05657
308,0.02228
314,0.09685
315,0.02974
317,0.03067
318,0.05064
320,0.05365
322,0.03908
323,0.02934
327,0.03104
329,0.07315
331,0.02668
332,0.07593
333,0.05246
334,0.02583
335,0.02229
336,0.04879
337,0.03738
341,0.04173
343,0.02888
345,0.04691
347,0.02916
348,0.04003
349,0.03025
352,0.03288
353,0.02635
354,0.05109
355,0.02742
356,0.04312
357,0.02700
358,0.02632
359,0.02792
361,0.05053
362,0.02966
365,0.03213
366,0.04638
368,0.03872
369,0.02518
371,0.02466
373,0.02393
376,0.06353
377,0.04198
379,0.03735
381,0.02857
382,0.03102
383,0.02439
384,0.03702
385,0.03273
386,0.04424
387,0.02745
388,0.07448
390,0.02551
391,0.03214
392,0.10505
393,0.02970
394,0.02527
396,0.03933
400,0.03881
402,0.03670
403,0.02345
405,0.03650
407,0.05524
409,0.03778
411,0.03480
412,0.01695
414,0.09377
415,0.03970
416,0.02276
418,0.02604
419,0.02900
421,0.02185
422,0.04662
423,0.03168
424,0.03970
426,0.02534
427,0.06279
428,0.02704
436,0.03374
438,0.04076
442,0.02604
443,0.02311
445,0.02763
446,0.02787
447,0.02355
450,0.05109
452,0.01960
453,0.03753
455,0.03657
